state_id,note_id,state,user_id,position_x,position_y,added_at,weather_level,z_index,rotation
105,105,public,,0.4,0.6,2025-04-18 22:22:07,0,0,1.5
106,106,public,,0.2,0.15,2025-04-18 22:23:38,0,1,0.0
107,107,public,,0.4,0.15,2025-04-18 22:23:38,0,1,-1.0
108,108,public,,0.6,0.15,2025-04-18 22:23:38,0,1,2.0
109,111,public,,0.47,0.35,2025-04-18 22:27:24,0,1,5.0
110,110,public,,0.7,0.76,2025-04-18 22:27:24,0,1,1.0
111,109,public,,0.66,0.71,2025-04-18 22:27:24,0,1,-2.1
112,114,public,,0.43,0.4,2025-04-18 22:27:24,0,1,1.4
113,113,public,,0.65,0.6,2025-04-18 22:27:24,0,1,-0.4
114,112,public,,0.74,0.66,2025-04-18 22:27:24,0,1,1.4
115,117,public,,0.39,0.83,2025-04-18 22:27:24,0,1,-1.5
116,116,public,,0.19,0.6,2025-04-18 22:27:24,0,1,-3.6
117,115,public,,0.26,0.66,2025-04-18 22:27:24,0,1,-1.2
118,120,public,,0.19,0.54,2025-04-18 22:27:24,0,1,1.8
119,119,public,,0.26,0.87,2025-04-18 22:27:24,0,1,-3.3
120,118,public,,0.11,0.62,2025-04-18 22:27:24,0,1,1.3
121,123,public,,0.54,0.82,2025-04-18 22:27:24,0,1,1.8
122,122,public,,0.72,0.83,2025-04-18 22:27:24,0,1,-4.7
123,121,public,,0.54,0.68,2025-04-18 22:27:24,0,1,0.3
