note_id,content,color,format,created_at,expires_at,type,is_prompt,prompt_id,created_by,is_auto_generated,state_id,state,user_id,position_x,position_y,added_at,weather_level,z_index,rotation
1,This is a test sticky note!,#FEFF9C,text,2025-04-23 10:29:03,2025-04-24 10:29:03,sticky,0,,user-test-1,0,1,public,,0.4,0.6,2025-04-23 10:29:03,0,0,1.5
1,This is a test sticky note!,#FEFF9C,text,2025-04-23 10:29:03,2025-04-24 10:29:03,sticky,0,,user-test-1,0,185,trash,system_user,0.5,0.5,2025-04-28 03:53:09,0,0,0.0
2,What’s on your mind today?,#FFFFF3,text,2025-04-23 10:29:03,2025-04-24 10:29:03,poster,1,,user-test-1,1,2,public,,0.2,0.15,2025-04-23 10:29:03,0,1,0.0
3,Write the world a story!,#FFFFF3,text,2025-04-23 10:29:03,2025-04-24 10:29:03,poster,1,,user-test-1,1,3,public,,0.4,0.15,2025-04-23 10:29:03,0,1,-1.0
4,Share a random thought.,#FFFFF3,text,2025-04-23 10:29:03,2025-04-24 10:29:03,poster,1,,user-test-1,1,4,public,,0.6,0.15,2025-04-23 10:29:03,0,1,2.0
65,Prompt #1: t HCmoQBQFs1T61Q5Kn4QaCtZTKJAW,#7AFF7D,text,2025-04-23 15:32:02,2025-04-24 15:32:02,sticky,1,,SEED-TEST-DATA-USER-001,0,65,public,,0.52,0.85,2025-04-23 15:32:02,0,0,3.1
66,Prompt #2: dxUIku1f2N7ftiWDOEN6UeH j4I mY,#7AFCFF,text,2025-04-23 15:32:02,2025-04-24 15:32:02,sticky,1,,SEED-TEST-DATA-USER-001,0,66,personal,SEED-TEST-DATA-USER-001,0.36,0.23,2025-04-23 15:32:02,0,10,7.1
67,Prompt #3: wlF71i6AlbudC3GDiYvqYKoMPddbY5,#FF7EB9,text,2025-04-23 15:32:02,2025-04-24 15:32:02,sticky,1,,SEED-TEST-DATA-USER-001,0,67,personal,SEED-TEST-DATA-USER-001,0.43,0.17,2025-04-23 15:32:02,0,4,-5.9
68,Prompt #4: sJWHIw23OUMD3WN ngi4BD5CQBIf4t,#FF7EB9,text,2025-04-23 15:32:02,2025-04-24 15:32:02,sticky,1,,SEED-TEST-DATA-USER-001,0,68,trash,SEED-TEST-DATA-USER-001,0.35,0.59,2025-04-23 15:32:02,0,0,9.4
69,Prompt #5: CzEHDDg0hyKuHgj2yJlLPUekxHUFZ6,#7AFCFF,text,2025-04-23 15:32:02,2025-04-24 15:32:02,sticky,1,,SEED-TEST-DATA-USER-001,0,69,public,,0.15,0.51,2025-04-23 15:32:02,0,2,6.9
70,Note #6: VpsfZ58jrfkt6c4PdSMmhfnAJF0 zP,#7AFCFF,text,2025-04-23 15:32:02,2025-04-24 15:32:02,sticky,0,,SEED-TEST-DATA-USER-001,0,70,public,,0.15,0.83,2025-04-23 15:32:02,0,1,7.8
